string_id,string_name,brand,series,gauge_mm,material,price_rm,rating,review_count,budget_tier,attacking_fit_label,control_fit_label,durable_fit_label,crisp_sound_label,source_url,attack,attack_100,attack_confidence,attack_review_raw,comfort,comfort_100,comfort_confidence,comfort_review_raw,control,control_100,control_confidence,control_review_raw,durability,durability_100,durability_confidence,durability_review_raw,elasticity,elasticity_100,elasticity_confidence,elasticity_review_raw,sound,sound_100,sound_confidence,sound_review_raw,string_movement,string_movement_100,string_movement_confidence,string_movement_review_raw,tension_retention,tension_retention_100,tension_retention_confidence,tension_retention_review_raw,value_for_money,value_for_money_100,value_for_money_confidence,value_for_money_review_raw,stability_score,all_round_score,attacking_fit_score,control_fit_score,beginner_fit_score
715,BG-80,尤尼克斯 YONEX,高弹性,0.68,侧丝：特殊高分子尼龙纤维编织、线芯： 维克特兰纤维和高分子尼龙复丝,68.0,9.1,3109,high,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=715,0.92,92.0,1.0,0.991297,0.833859,83.4,1.0,0.828859,0.92,92.0,1.0,0.944471,0.456494,45.6,1.0,0.448994,0.92,92.0,1.0,0.974576,0.92,92.0,1.0,0.965645,0.219664,22.0,1.0,0.212998,0.832183,83.2,1.0,0.827183,0.677737,67.8,1.0,0.696393,0.219664,0.744437,0.92,0.657282,0.5965165
401,BG-65,尤尼克斯 YONEX,耐久性,0.7,外裹特殊编织结构的侧丝,0.0,8.0,1506,unknown,medium,high,high,no,https://www.badmintoncn.com/cbo_eq/view.php?eid=401,0.92,92.0,1.0,0.960182,0.8303,83.0,1.0,0.8203,0.92,92.0,1.0,0.934819,0.92,92.0,1.0,0.97203,0.599345,59.9,1.0,0.616845,0.582494,58.2,1.0,0.597494,0.374935,37.5,1.0,0.354935,0.865215,86.5,1.0,0.850215,0.92,92.0,1.0,0.927559,0.374935,0.770254,0.700613,0.72005,0.7795920000000001
716,BG-65Ti,尤尼克斯 YONEX,耐久性,0.7,线芯材料为化学合成多层成树脂，纤维表面采用新型氢钛合金涂覆技术,0.0,8.4,899,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=716,0.92,92.0,1.0,0.968162,0.90129,90.1,1.0,0.89129,0.883849,88.4,1.0,0.883849,0.92,92.0,1.0,0.958234,0.799236,79.9,1.0,0.816736,0.879628,88.0,1.0,0.894628,0.243643,24.4,1.0,0.223643,0.84789,84.8,1.0,0.83289,0.911712,91.2,1.0,0.913253,0.243643,0.811916,0.866288,0.658461,0.7761081000000001
4146,BG66 ULTIMAX,尤尼克斯 YONEX,高弹性,0.65,高强度尼龙复丝 外层包裹特殊编织的高聚合尼龙,0.0,8.6,1331,unknown,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=4146,0.92,92.0,1.0,0.938788,0.915884,91.6,1.0,0.918384,0.92,92.0,1.0,0.932341,0.388873,38.9,1.0,0.403873,0.92,92.0,1.0,0.949053,0.92,92.0,1.0,0.963638,0.303919,30.4,1.0,0.317252,0.651646,65.2,1.0,0.661646,0.605692,60.6,1.0,0.608136,0.303919,0.727335,0.92,0.625188,0.6105408
6667,BG80 POWER,尤尼克斯 YONEX,高弹性,0.68,线芯【高密度尼龙复丝+维克兰特纤维】、侧丝【高聚合尼龙+特殊编织】,76.0,8.9,1082,high,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6667,0.92,92.0,1.0,0.979188,0.893617,89.4,1.0,0.888617,0.92,92.0,1.0,0.932697,0.813696,81.4,1.0,0.806196,0.919,91.9,1.0,0.92775,0.916796,91.7,1.0,0.924296,0.32526,32.5,1.0,0.318593,0.843992,84.4,1.0,0.838992,0.658811,65.9,1.0,0.709184,0.32526,0.801241,0.918599,0.696417,0.7052598999999999
6724,AEROSONIC,尤尼克斯 YONEX,高弹性,0.61,线芯-高密度尼龙；侧丝-高聚合尼龙 特殊编织,85.0,9.0,395,high,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6724,0.92,92.0,1.0,0.966913,0.905227,90.5,1.0,0.917727,0.92,92.0,1.0,0.924754,0.207518,20.8,1.0,0.252518,0.92,92.0,1.0,0.992829,0.92,92.0,1.0,0.9941,0.2,20.0,1.0,0.22875,0.766472,76.6,1.0,0.796472,0.280323,28.0,1.0,0.374529,0.2,0.67106,0.92,0.628824,0.4684138
6771,BG66 FORCE,尤尼克斯 YONEX,高弹性,0.65,高聚合尼龙 多纤丝 特殊编织,0.0,9.3,331,unknown,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6771,0.92,92.0,1.0,0.990992,0.861561,86.2,1.0,0.864061,0.92,92.0,1.0,0.94078,0.710818,71.1,1.0,0.725818,0.917403,91.7,1.0,0.913028,0.902114,90.2,1.0,0.898364,0.483336,48.3,1.0,0.496669,0.92,92.0,1.0,0.959534,0.743349,74.3,1.0,0.744755,0.483336,0.819842,0.913172,0.774445,0.7262143999999999
6935,AEROBITE,尤尼克斯 YONEX,控制性,0.67,横线：线芯，高强度尼龙复丝；（外层）线衣，高聚合物尼龙编织。 竖线：线芯，高强度尼龙复丝；（外层）线衣，高聚合物尼龙编织；涂层，聚氨酯。,0.0,9.3,1128,unknown,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6935,0.92,92.0,1.0,0.967247,0.92,92.0,1.0,0.965996,0.92,92.0,1.0,0.985058,0.405254,40.5,1.0,0.405254,0.92,92.0,1.0,0.964965,0.92,92.0,1.0,0.974159,0.290745,29.1,1.0,0.290745,0.743001,74.3,1.0,0.743001,0.449372,44.9,1.0,0.471457,0.290745,0.72093,0.92,0.651249,0.5735428
6982,AEROBITE BOOST,尤尼克斯 YONEX,控制性,0.72,高密度尼龙 高聚合尼龙、特殊编织,0.0,9.2,477,unknown,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6982,0.92,92.0,1.0,0.979252,0.868328,86.8,1.0,0.853328,0.92,92.0,1.0,0.97905,0.735279,73.5,1.0,0.697779,0.904522,90.5,1.0,0.930772,0.881774,88.2,1.0,0.904274,0.413304,41.3,1.0,0.37997,0.92,92.0,1.0,0.918806,0.492251,49.2,1.0,0.501083,0.413304,0.78394,0.902099,0.751101,0.6566941500000001
8887,EXBOLT 63,尤尼克斯 YONEX,高弹性,0.63,线芯：高强度尼龙复丝 侧丝：锻造纤维、特殊编织,76.0,9.3,1636,high,high,high,medium,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=8887,0.92,92.0,1.0,0.961085,0.908028,90.8,1.0,0.915528,0.92,92.0,1.0,0.930186,0.674689,67.5,1.0,0.704689,0.92,92.0,1.0,0.95904,0.92,92.0,1.0,0.951432,0.562242,56.2,1.0,0.588909,0.899493,89.9,1.0,0.919493,0.49626,49.6,1.0,0.553014,0.562242,0.802301,0.92,0.793912,0.689261
