string_id,string_name,brand,series,gauge_mm,material,price_rm,rating,review_count,budget_tier,attacking_fit_label,control_fit_label,durable_fit_label,crisp_sound_label,source_url,elasticity,elasticity_100,elasticity_confidence,elasticity_review_raw,elasticity_mentions,elasticity_positive,elasticity_negative,durability,durability_100,durability_confidence,durability_review_raw,durability_mentions,durability_positive,durability_negative,control,control_100,control_confidence,control_review_raw,control_mentions,control_positive,control_negative,tension_retention,tension_retention_100,tension_retention_confidence,tension_retention_review_raw,tension_retention_mentions,tension_retention_positive,tension_retention_negative,string_movement,string_movement_100,string_movement_confidence,string_movement_review_raw,string_movement_mentions,string_movement_positive,string_movement_negative,attack,attack_100,attack_confidence,attack_review_raw,attack_mentions,attack_positive,attack_negative,sound,sound_100,sound_confidence,sound_review_raw,sound_mentions,sound_positive,sound_negative,comfort,comfort_100,comfort_confidence,comfort_review_raw,comfort_mentions,comfort_positive,comfort_negative,value_for_money,value_for_money_100,value_for_money_confidence,value_for_money_review_raw,value_for_money_mentions,value_for_money_positive,value_for_money_negative,stability_score,all_round_score,attacking_fit_score,control_fit_score,beginner_fit_score
715,BG-80,尤尼克斯 YONEX,高弹性,0.68,侧丝：特殊高分子尼龙纤维编织、线芯： 维克特兰纤维和高分子尼龙复丝,68.0,9.1,3109,high,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=715,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.40813424617421634,40.8,0.0,0.5165,0,0,0,0.7709692194943203,0.6839,0.7514,0.74,0.6594
401,BG-65,尤尼克斯 YONEX,耐久性,0.7,外裹特殊编织结构的侧丝,0.0,8.0,1506,unknown,medium,high,high,no,https://www.badmintoncn.com/cbo_eq/view.php?eid=401,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.6318184567005322,63.2,0.0,0.5165,0,0,0,0.7709692194943203,0.7088,0.7514,0.74,0.7153
716,BG-65Ti,尤尼克斯 YONEX,耐久性,0.7,线芯材料为化学合成多层成树脂，纤维表面采用新型氢钛合金涂覆技术,0.0,8.4,899,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=716,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.6318184567005322,63.2,0.0,0.5165,0,0,0,0.7709692194943203,0.7088,0.7514,0.74,0.7153
4146,BG66 ULTIMAX,尤尼克斯 YONEX,高弹性,0.65,高强度尼龙复丝 外层包裹特殊编织的高聚合尼龙,0.0,8.6,1331,unknown,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=4146,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.6318184567005322,63.2,0.0,0.5165,0,0,0,0.7709692194943203,0.7088,0.7514,0.74,0.7153
6667,BG80 POWER,尤尼克斯 YONEX,高弹性,0.68,线芯【高密度尼龙复丝+维克兰特纤维】、侧丝【高聚合尼龙+特殊编织】,76.0,8.9,1082,high,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6667,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.38181845670053216,38.2,0.0,0.5165,0,0,0,0.7709692194943203,0.681,0.7514,0.74,0.6528
6724,AEROSONIC,尤尼克斯 YONEX,高弹性,0.61,线芯-高密度尼龙；侧丝-高聚合尼龙 特殊编织,85.0,9.0,395,high,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6724,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.38181845670053216,38.2,0.0,0.5165,0,0,0,0.7709692194943203,0.681,0.7514,0.74,0.6528
6771,BG66 FORCE,尤尼克斯 YONEX,高弹性,0.65,高聚合尼龙 多纤丝 特殊编织,0.0,9.3,331,unknown,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6771,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.6318184567005322,63.2,0.0,0.5165,0,0,0,0.7709692194943203,0.7088,0.7514,0.74,0.7153
6935,AEROBITE,尤尼克斯 YONEX,控制性,0.67,横线：线芯，高强度尼龙复丝；（外层）线衣，高聚合物尼龙编织。 竖线：线芯，高强度尼龙复丝；（外层）线衣，高聚合物尼龙编织；涂层，聚氨酯。,0.0,9.3,1128,unknown,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6935,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.6318184567005322,63.2,0.0,0.5165,0,0,0,0.7709692194943203,0.7088,0.7514,0.74,0.7153
6982,AEROBITE BOOST,尤尼克斯 YONEX,控制性,0.72,高密度尼龙 高聚合尼龙、特殊编织,0.0,9.2,477,unknown,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6982,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.6318184567005322,63.2,0.0,0.5165,0,0,0,0.7709692194943203,0.7088,0.7514,0.74,0.7153
8887,EXBOLT 63,尤尼克斯 YONEX,高弹性,0.63,线芯：高强度尼龙复丝 侧丝：锻造纤维、特殊编织,76.0,9.3,1636,high,high,high,medium,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=8887,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.38181845670053216,38.2,0.0,0.5165,0,0,0,0.7709692194943203,0.681,0.7514,0.74,0.6528
12743,EXBOLT65,尤尼克斯 YONEX,高弹性,0.65,线芯-高强度尼龙复丝、侧丝-锻造纤维、特殊编织、涂层-弹力表层,76.0,8.7,443,high,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=12743,0.766282532239156,76.6,0.0,0.9842,0,0,0,0.7302843482637141,73.0,0.0,0.9187,0,0,0,0.7315510597302505,73.2,0.0,0.921,0,0,0,0.5421957671957672,54.2,0.0,0.5767,0,0,0,0.7709692194943203,77.1,0.0,0.0073,0,0,0,0.7557860262008734,75.6,0.0,0.9651,0,0,0,0.7256633663366338,72.6,0.0,0.9103,0,0,0,0.7245812005583994,72.5,0.0,0.9083,0,0,0,0.38181845670053216,38.2,0.0,0.5165,0,0,0,0.7709692194943203,0.681,0.7514,0.74,0.6528
