sample_id,split,review_id,string_id,string_name,aspect,label_text,label_id,mention_flag,sentiment_id,needs_manual_review,review_text,rating_label,has_tension_mention,has_price_mention,extracted_tension,likes_count,review_date,source_url
R0001_elasticity,train,R0001,S001,BG-80,elasticity,positive,2,1,1.0,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_durability,train,R0001,S001,BG-80,durability,negative,3,1,-1.0,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_control,train,R0001,S001,BG-80,control,not_mentioned,0,0,,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_tension_retention,train,R0001,S001,BG-80,tension_retention,not_mentioned,0,0,,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_string_movement,train,R0001,S001,BG-80,string_movement,not_mentioned,0,0,,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_attack,train,R0001,S001,BG-80,attack,positive,2,1,1.0,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_sound,train,R0001,S001,BG-80,sound,not_mentioned,0,0,,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_comfort,train,R0001,S001,BG-80,comfort,not_mentioned,0,0,,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0001_value_for_money,train,R0001,S001,BG-80,value_for_money,not_mentioned,0,0,,0,"如果，66u是那清脆婉转的瑶琴丝竹，
如果，66n是那芳草绕甸的明月清流，
如果，aerobite是那桃色梅香的幽园，
那80便是那铁马冰河入梦来的渴望，是那初随骠骑战渔阳的豪肠，是那一骑白马开吴疆的心驰神往。
“一身，些时转战三千里，一线，亦可能当百万师”

亮点 弹性尚佳 足够硬 有聚力爆破感
不足 不太耐打",真香,no,no,,808,2023-2-5,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=484181
R0002_elasticity,train,R0002,S001,BG-80,elasticity,positive,2,1,1.0,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0002_durability,train,R0002,S001,BG-80,durability,not_mentioned,0,0,,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
